TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,YEAR
Akron,MAC,34,28,113.7,106.8,0.6717,55.4,49.5,16.6,17.2,33.3,29,26.8,33.7,55.8,50.6,36.6,31.9,71.2,-1.8,13,2015
Lipscomb,ASun,34,25,110.7,104,0.6716,55.9,48.6,14.4,15.9,24,26.5,31.4,22.3,56.7,49.9,36.7,31,66.1,-4.1,14,2015
UAB,Amer,34,22,117.2,110.2,0.6711,50.7,51.6,13.9,15.5,38.8,30.7,31.6,29.2,50.5,50.6,34.1,35.7,69,-6.2,N/A,2015
Troy,SB,33,23,106.7,100.6,0.6613,50.1,47.2,19.9,19.8,38.6,32,37.8,29.3,53.9,46.2,30.3,32.6,66.1,-4.5,14,2015
Providence,BE,32,12,111.2,105,0.6583,52.1,49.5,19,13.8,33.2,28.7,29.6,32.8,51.1,49,35.6,33.5,66.2,-8.5,N/A,2015
New Mexico St.,CUSA,32,17,104.7,99,0.6556,46.2,46.9,15.6,15,32.5,27.7,34.5,39.2,46.1,48.8,30.9,29.5,64.7,-8.4,N/A,2015
Washington St.,WCC,33,19,112.7,106.7,0.6527,56.7,51.3,20.4,17.3,31.3,33.4,32.4,32.6,58,52,36.5,33.5,70.6,-4.8,N/A,2015
Syracuse,ACC,33,14,110.9,105.2,0.6485,51,52.9,17.9,14,31.4,26.1,33.1,33,51.9,53.6,32.8,34.5,68.1,-7.7,N/A,2015
Saint Louis,A10,33,19,108.8,103.5,0.6406,56.3,48.6,18.6,14.4,23.6,28,29.8,24.3,59.8,47.8,35.3,33.2,67.1,-6.5,N/A,2015
UNC Wilmington,CAA,34,27,112.2,106.8,0.639,52.2,50.9,16,17.4,35.4,28.1,37.8,30.3,53.8,50.4,33,34.4,65.1,-3.3,14,2015
Utah Valley,WAC,33,25,107,101.8,0.6378,50.8,47.4,17.3,16.9,31.1,26.6,41.8,31.8,51.4,45.7,33,33.8,67.9,-3.1,N/A,2015
Florida Atlantic,Amer,33,18,112.2,106.8,0.6377,53.2,49.6,16.3,16,30.7,31.6,33.2,33.3,53.8,46.6,34.9,36.8,68.9,-7.9,N/A,2015
DePaul,BE,33,14,109.3,104.1,0.6372,52.7,51.4,17.9,15.5,27.2,28.7,27.4,28.9,53.3,51.3,34.6,34.4,67,-7.5,N/A,2015
North Alabama,ASun,34,24,112,106.7,0.6371,51.7,50.5,12.5,16.8,33.5,29,30.8,27.6,51.5,51.7,34.8,32.6,66.5,-5.7,N/A,2015
St. Thomas,Sum,34,24,114.1,108.8,0.634,57.8,52.5,13.7,18.5,21.5,31.2,34,35.9,58.1,52.1,38.3,35.4,67.8,-5.2,N/A,2015
N.C. State,ACC,31,12,107.7,102.7,0.6331,48.3,51,14.4,18.6,28.8,32.5,32.3,32.2,48.3,50.8,32.2,34.3,65.1,-8.9,N/A,2015
George Washington,A10,33,21,107.6,102.7,0.632,50.6,48.4,18.2,19.4,32.1,32.7,40.8,26.7,53.2,49,31.3,31.6,66.8,-6.5,N/A,2015
Northern Iowa,MVC,32,20,108.6,103.7,0.6291,55.5,51.5,15.9,17.4,25.6,25.2,35.2,28.3,55.3,49.9,37.2,36,65,-6.6,N/A,2015
Washington,B10,31,13,109.2,104.5,0.626,50.6,53,17.5,16.7,27.5,28.5,34.5,36.2,50.1,53.3,34.4,35.1,67.6,-5.6,N/A,2015
Northern Colorado,BSky,34,25,111.8,106.9,0.6258,57.3,52.1,15.7,15.5,25.2,22.2,33.4,35.4,58.9,51.8,36.5,35.2,68.7,-4.1,N/A,2015
Middle Tennessee,CUSA,33,22,108.5,103.8,0.6233,50.8,48.5,16.6,16.1,30.7,29,32.3,31,52.9,49.2,31.7,31.6,68.3,-4.3,N/A,2015
California,ACC,33,14,110,105.7,0.6142,47.8,53,16.6,16.3,34.7,28.8,38.9,32.8,48.2,51.3,31.5,37.6,67.5,-8,N/A,2015
North Dakota St.,Sum,32,21,115.5,111.2,0.6085,58.2,51.4,15.6,11.1,26.2,29,32.6,27.1,56.5,51.3,39.8,34.3,65,-6.4,N/A,2015
Duquesne,A10,32,13,106.4,102.7,0.6006,50,50.2,18.3,20,32.9,30.7,30,39.5,49.2,48.1,34,35.9,65,-12.8,N/A,2015
Kennesaw St.,CUSA,33,19,107.1,103.4,0.5995,49.3,48.3,19.7,15.1,32.5,27.4,38.8,42.6,52.2,48.1,30.6,32.5,70.1,-7.2,N/A,2015
Cornell,Ivy,29,18,114.7,110.8,0.5967,58.7,52.2,16.8,15.3,25.5,28.9,28.6,31.3,61.1,52.3,37.4,34.7,70.7,-7.2,N/A,2015
Nebraska Omaha,Sum,34,22,112.2,108.4,0.5964,53.5,53.1,15.7,14.9,29.2,25.4,36.4,37.7,52.5,53.5,36.7,35.1,67.7,-6.5,15,2015
Kent St.,MAC,33,22,105.5,102.1,0.5944,48.7,48.4,17.3,18.9,35.7,28.3,30,39.2,50.4,49.4,30.5,31.3,65.8,-5.9,N/A,2015
Cal St. Northridge,BW,32,22,107.7,104.4,0.5896,51.8,49.9,18.9,20.5,35.4,24.1,35.8,45.1,51.5,46.4,35,35.6,72.2,-4.9,N/A,2015
South Dakota St.,Sum,32,20,109.7,106.4,0.5869,53.6,50.9,17.6,12.7,33.6,21.4,31.2,29.9,54.5,52.3,34.8,32.9,69,-6.2,N/A,2015
Belmont,MVC,33,22,111.9,108.5,0.5868,54.8,53.7,15.9,17.6,27.2,29.4,26.1,27,52.9,54.6,38.1,35.1,70.6,-5.5,N/A,2015
Illinois St.,MVC,33,19,112.1,108.8,0.5829,56,53.8,15.8,16.7,24.6,24.9,30.7,31.4,56.6,53.5,36.9,36.1,65.6,-8.2,N/A,2015
Jacksonville St.,CUSA,34,22,108,105.1,0.5782,49.6,49.4,15.7,13.3,30.9,26.5,32.2,28,49.1,47.7,33.5,34.5,64.6,-5.4,N/A,2015
Montana,BSky,34,25,112,109,0.5779,56.4,52.2,16.2,15.5,22.6,29,36.2,31.9,57.3,53.1,36.5,33.7,67,-3.1,14,2015
Louisiana Tech,CUSA,32,20,107.7,105,0.5728,52.5,47.8,18.9,14.7,29.3,28.7,35,32,53.5,48.8,34.1,30.8,64.4,-6.4,N/A,2015
Chattanooga,SC,33,24,114,111.2,0.5725,56.5,51.2,15.4,16.2,25.8,29.9,31.5,33.8,57.5,50,36.8,35.4,66.5,-4.1,N/A,2015
South Alabama,SB,32,21,106.1,103.6,0.5684,50.8,48.5,14.6,20.6,28.3,32.2,33.6,24.4,53.6,46.9,31.7,33.1,63.1,-6.5,N/A,2015
Samford,SC,32,22,110.4,108,0.5635,54.6,53.2,18.3,21.8,34.6,33.5,29.3,41.8,54,53.8,36.9,35,70.8,-4.9,N/A,2015
Tulane,Amer,33,19,108.4,106.1,0.5603,52.1,48.4,15.9,17.4,27.2,32.4,35.1,32.8,52.9,48.3,33.9,32.3,66.7,-8.7,N/A,2015
Seattle,WAC,32,14,103,101,0.5584,46.5,51.2,17,20.9,29.9,27,42.3,36.7,46.3,53.3,31.3,31.9,65.9,-12.1,N/A,2015
Wichita St.,Amer,33,19,105.8,103.7,0.5582,48.7,49.9,16.4,15.7,31.9,28.4,35.2,28.3,50.1,49.9,30.2,33.3,68.6,-7.3,N/A,2015
Furman,SC,34,25,109.2,107.3,0.5515,53.6,49.2,17,16.5,30,31,35.4,29,53.2,49.2,36,32.9,65.8,-4.4,N/A,2015
