TEAM,CONF,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,POSTSEASON,YEAR
North Carolina,ACC,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,6,2016
Wisconsin,B10,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,6,2015
Michigan,B10,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,65.9,6,2018
Texas Tech,B12,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,6,2019
Gonzaga,WCC,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,71.5,6,2017
Kentucky,SEC,49.9,46,18.1,16.1,42,29.7,51.8,36.8,50,44.9,33.2,32.2,65.9,6,2014
Michigan,B10,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6,2013
Duke,ACC,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,7,2015
Virginia,ACC,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,7,2019
North Carolina,ACC,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,7,2017
Villanova,BE,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,7,2016
Villanova,BE,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,7,2018
Connecticut,Amer,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,64.8,7,2014
Louisville,BE,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,7,2013
Louisville,ACC,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,4,2015
Notre Dame,ACC,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,63.9,4,2015
Notre Dame,ACC,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,4,2016
Virginia,ACC,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,4,2016
Duke,ACC,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,70.9,4,2018
Florida St.,ACC,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,72.5,4,2018
Duke,ACC,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,73.6,4,2019
Purdue,B10,53.6,49,15.8,18.6,34.5,27,29.9,31.7,51.5,47.2,37.4,34.2,67,4,2019
Kansas,B12,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,4,2016
Kansas,B12,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,71.4,4,2017
Kansas St.,B12,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,66.5,4,2018
Texas Tech,B12,52,46.4,17.8,21.7,32.9,28.7,39.3,38,51.1,45.1,35.9,32.3,67.6,4,2018
Xavier,BE,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,68.4,4,2017
Arizona,P12,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,4,2015
Oregon,P12,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,4,2016
Florida,SEC,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,70.2,4,2017
Kentucky,SEC,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,4,2017
Kentucky,SEC,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,4,2019
Gonzaga,WCC,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,65.2,4,2015
Gonzaga,WCC,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,4,2019
Arizona,P12,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,64.3,4,2014
Michigan,B10,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,4,2014
Michigan St.,B10,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,66.2,4,2014
Dayton,A10,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,65.4,4,2014
Ohio St.,B10,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,4,2013
Duke,ACC,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,67.8,4,2013
Marquette,BE,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4,2013
Florida,SEC,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,62.8,4,2013
Syracuse,ACC,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,5,2016
Michigan St.,B10,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,5,2015
Michigan St.,B10,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,5,2019
Oklahoma,B12,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,70.8,5,2016
Kansas,B12,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,5,2018
Loyola Chicago,MVC,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,5,2018
Oregon,P12,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,68.4,5,2017
Kentucky,SEC,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,5,2015
South Carolina,SEC,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,5,2017
Auburn,SEC,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,5,2019
Florida,SEC,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,63.1,5,2014
Wisconsin,B10,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,63.9,5,2014
Syracuse,BE,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5,2013
Wichita St.,MVC,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65,5,2013
Duquesne,A10,51.2,51.7,18.3,16,31.7,33.3,32.5,33.8,49.5,47.7,36.2,38.5,67.6,0,2015
Fordham,A10,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,47.8,49.6,29.8,34.1,65.9,0,2015
George Mason,A10,45.5,50,21.9,18.5,35.9,30.4,41.1,44.7,44.9,48.4,31.6,35.3,65,0,2015
George Washington,A10,48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,47.3,44.9,35.2,31.9,62.7,0,2015
La Salle,A10,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,46.1,45.1,32.1,31.6,64.8,0,2015
Massachusetts,A10,47.3,48.7,20.5,17.5,34,31.3,42.4,35.2,48.4,47.1,29.6,35,67.8,0,2015
Rhode Island,A10,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46,50.1,45,30.5,27.3,65.9,0,2015
Richmond,A10,52.1,46,15.6,21.1,22.2,33.4,32.9,33.5,52.8,46.2,34,30.3,62.2,0,2015
Saint Joseph's,A10,45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,45.5,46.3,29.9,34.8,64,0,2015
Saint Louis,A10,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,45.2,50.6,32,35.7,63.4,0,2015
St. Bonaventure,A10,47.1,48.4,18.9,19.7,35,29,37.9,33.9,47.1,45.3,31.4,36.2,65,0,2015
Davidson,A10,52,52,14.2,15.8,24.9,30.8,32.3,30.6,51.1,52.2,35.5,34.3,71.3,0,2016
Duquesne,A10,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,53.1,42.8,36.6,40.2,73.6,0,2016
Fordham,A10,51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,51.2,52.3,34.6,33.4,67.5,0,2016
George Mason,A10,45.1,48.4,18.6,10.2,33.5,22.8,34.4,30,45.7,46,29.2,35.3,68.6,0,2016
George Washington,A10,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27,48.4,48.2,37.1,33,67.2,0,2016
La Salle,A10,47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,45.4,51.1,33.6,38.1,67,0,2016
Massachusetts,A10,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,48.8,49,33,31.3,71.6,0,2016
Rhode Island,A10,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,48.3,46.6,36.5,33.3,65.7,0,2016
Richmond,A10,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,55.4,49.4,35.6,36,69.2,0,2016
Saint Louis,A10,47.7,50,19.5,18.5,20.7,27.9,37.8,39.3,46.9,50.5,32.8,32.8,69.6,0,2016
St. Bonaventure,A10,51.5,49.6,16.5,19,31.3,33.4,37.5,37.4,48.8,50.5,37.3,32.1,68.9,0,2016
Davidson,A10,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,51.9,45.8,34.1,38.1,69.7,0,2017
Duquesne,A10,48.9,49.9,20,17.6,29,30.2,37.1,33.3,48.3,47.9,33.4,35.9,71.7,0,2017
Fordham,A10,48.4,53,19.7,25.6,23.4,31,26.7,43.5,47.4,52.3,33.2,36.1,65.8,0,2017
George Mason,A10,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,48.5,48.4,34.2,32.7,70,0,2017
George Washington,A10,49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,45.6,48.9,37.1,35.4,67,0,2017
La Salle,A10,53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,52.4,51.3,36.4,39.4,69.9,0,2017
Massachusetts,A10,49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,53.3,44.5,29.7,34.5,73.6,0,2017
Richmond,A10,53.9,49.9,16.2,20,20.7,30.7,31.6,34.6,55.6,50.9,34.2,32.1,70.1,0,2017
Saint Joseph's,A10,46.6,51.2,17,18,29.8,26.6,40.1,32.5,45.7,50.3,32.4,34.9,70,0,2017
Saint Louis,A10,47,50.6,20.3,16.9,24.2,27.3,34.4,38.5,44.3,48.9,34.2,35.6,65.2,0,2017
St. Bonaventure,A10,49.7,49.9,17.6,20.9,33,31,42.4,41.5,48.5,48.1,34.8,35.3,70,0,2017
Dayton,A10,55.5,54.4,20.2,18.4,25.8,27.5,31.8,29.2,59.5,52.5,33.7,38.3,67.2,0,2018
Duquesne,A10,49.7,50.8,17.6,18.4,33,28.9,35.4,36.4,47.8,51,35,33.5,67.3,0,2018
Fordham,A10,47.9,52.3,18.5,21.1,18.8,32.8,26.9,30.4,52.1,52.1,28.8,35.1,67.2,0,2018
George Mason,A10,49.1,52.1,18.2,16.1,27.9,26.7,31.8,30.8,49.1,51.5,32.6,35.3,70.1,0,2018
George Washington,A10,49.5,51.4,19.2,17.1,31.7,30,28.9,28.1,50.2,50.3,32.1,35.7,66.8,0,2018
La Salle,A10,49,51.7,16.5,17.5,25.5,25.4,31,33.8,48.8,48.8,32.9,38.1,70.1,0,2018
Massachusetts,A10,52.5,51.5,18.6,16.5,27.2,29.7,25.1,33.2,47.9,51.2,40,34.7,67.6,0,2018
Richmond,A10,52.1,55.4,16.9,19,23.4,28.3,29.7,31.4,53.2,55.3,33.4,37.2,69.1,0,2018
Saint Joseph's,A10,48.8,49.6,13.9,16.2,23.5,24.5,34.6,24.6,47.7,48.9,33.7,33.7,71.6,0,2018
Saint Louis,A10,47.1,49.3,19.5,18.3,33.8,27,45.8,35.1,46.6,47.7,32,34.8,65.3,0,2018
VCU,A10,52.6,51.5,18.7,17.8,29,27,28.1,29.4,52.4,50.9,35.2,35.1,72,0,2018
Davidson,A10,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30,52.8,47.3,35.6,33,66.1,0,2019
Dayton,A10,56.1,47.9,18.8,16.8,26.9,27.4,32.1,23.8,59.5,47.7,33.2,32.1,66.1,0,2019
Duquesne,A10,49.9,49.9,19.8,21.6,31.9,35.1,35,31.9,51.1,49.5,32.2,33.8,71,0,2019
Fordham,A10,46.8,49.5,16.4,19.1,25.1,28,24.5,36.9,44.7,49.6,33,32.9,66.3,0,2019
George Mason,A10,50.1,50.2,18.9,18.2,29,27.2,34.2,30.6,50.5,51.6,33,32,69.2,0,2019
George Washington,A10,45.8,51.2,18.2,17.1,23.4,28.5,32.6,30.2,45.3,49.8,31.1,35.6,68.8,0,2019
La Salle,A10,47.2,51.3,20.2,19.8,28.9,28.9,28.5,41.3,45.3,51.2,33.1,34.2,70.6,0,2019
Massachusetts,A10,51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,50.2,50.6,35,35,69,0,2019
Rhode Island,A10,47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,50,48.8,28,32.3,68.9,0,2019
Richmond,A10,54.1,53.1,15.3,18.5,19.1,29.9,30.7,28.7,55.5,54,34.7,34.4,67.2,0,2019
Saint Joseph's,A10,48,51.7,13.5,15.7,22,24.4,31.7,27.1,47.8,49.9,32.2,36,69.8,0,2019
St. Bonaventure,A10,48.3,47.2,18.7,19.8,29.2,28.7,28.2,31.5,47.9,46.2,32.8,32.3,65.6,0,2019
Boston College,ACC,50.8,49.4,18.8,18.8,26,30.9,35,40.8,52.1,49,32.4,33.5,63.9,0,2015
Clemson,ACC,46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,46.5,43.9,29.9,32.8,62.2,0,2015
Florida St.,ACC,50.1,47.3,21.9,18,31.8,31.9,46.9,37.9,51.4,46.5,31.3,32.5,66.6,0,2015
Georgia Tech,ACC,44.4,49.2,19.6,18,38.7,25.8,31.1,33.8,46.1,49.9,26.7,31.9,64.2,0,2015
Miami FL,ACC,49.9,47.6,15.9,17.3,29.5,29.3,35.5,28.5,47.4,47.1,35.8,32.4,62.9,0,2015
Pittsburgh,ACC,49.1,50,15.7,17.4,34.3,31.6,34.8,37.8,48.6,49,33.6,34.9,60.9,0,2015
Syracuse,ACC,47.3,46.4,17.9,21.1,33.5,31.3,35.4,30,48.3,45.9,30,31.4,66.4,0,2015
Virginia Tech,ACC,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,47.7,49.6,38.9,35.1,64.2,0,2015
Wake Forest,ACC,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,46.5,51.1,33.6,33.8,68.7,0,2015
Boston College,ACC,47.5,52.4,20,19.5,21.8,28.6,25.9,37,46.9,50,32.3,38.2,67.8,0,2016
Clemson,ACC,50.6,47.9,15.8,18,30.3,30.3,33.3,28.5,49.1,45.5,35.2,34.9,64.5,0,2016
Florida St.,ACC,51.8,50.9,18,18.9,32.8,28.3,37.8,36.7,52.1,48.9,34.1,36.2,72.7,0,2016
Georgia Tech,ACC,49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,48.4,49.5,35.7,32,67.8,0,2016
Louisville,ACC,51.9,44.7,17.1,21.6,38.5,29.2,31.8,40.5,51.9,42.8,34.7,32.1,67.2,0,2016
North Carolina St.,ACC,48.5,50.6,16.1,15,36.3,30.4,38.9,29.7,46.9,47.5,34.8,37.4,68.5,0,2016
Virginia Tech,ACC,50,49,18,17.9,30.3,31.8,49.4,33.5,49.1,50.1,34.8,31.3,70.5,0,2016
Wake Forest,ACC,49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,50.4,49.2,31.6,33.4,72.4,0,2016
Boston College,ACC,51.6,53.2,20.1,17.2,25.6,24.2,29.6,39.6,49.1,53.2,37.4,35.4,72.5,0,2017
Clemson,ACC,51.1,51.9,15.8,20.1,31.4,32.2,34.3,24.1,49.8,51,35.7,35.6,67.8,0,2017
Georgia Tech,ACC,47.4,46,19.3,18.8,27.7,30.8,35.8,27.4,46.9,43.9,32.5,33.1,69.2,0,2017
North Carolina St.,ACC,52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,52.4,49.5,35.6,36.9,71.9,0,2017
Pittsburgh,ACC,51.4,51.3,17.6,14.3,28.2,29.5,39.4,26.6,49.6,50.2,36.1,35.6,67,0,2017
Syracuse,ACC,53.5,50.3,18,19.7,31.6,34.5,35.1,29.2,51.3,49.6,37.9,34.3,68.2,0,2017
Boston College,ACC,52.1,51.8,18.2,17.6,30.1,26,30.7,27.1,51.1,50.1,35.9,36.1,70.9,0,2018
Georgia Tech,ACC,46.9,49.2,19.2,18.9,30.8,30.6,34.8,31.8,46.6,45.4,31.8,37.9,67,0,2018
Louisville,ACC,51.8,47,16.7,18.9,28.6,31.4,31.9,29.3,49.7,45.8,37.1,32.9,70.6,0,2018
Notre Dame,ACC,51.1,49.3,14.7,16.4,31.1,28.8,31,22.6,49.6,47,35.6,35.4,66.7,0,2018
Pittsburgh,ACC,48.2,50.1,20.9,16.6,22.7,34.8,31.9,31.3,47.8,50.1,32.5,33.4,66.5,0,2018
Wake Forest,ACC,50.5,51.5,18.8,17.5,30.5,27.7,31.9,39,47.4,48.1,37.4,37.7,70.7,0,2018
Boston College,ACC,48.5,48.4,17.5,16.6,28.6,31.5,35,29.4,49.1,48.8,31.7,32,68.8,0,2019
Clemson,ACC,50.7,47.6,19.7,19.8,27.8,24.5,33.5,30,51.5,44.4,32.8,35,67.4,0,2019
Georgia Tech,ACC,49.2,45.7,21,18.7,25.3,31.6,34.3,34.8,50.7,46.3,30.7,29.7,68.5,0,2019
Miami FL,ACC,50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,51.4,51.7,33.3,34.9,68.3,0,2019
North Carolina St.,ACC,52,49.4,17.3,21.5,36,28.8,28.5,38.8,51.6,51,35.2,30.9,72.8,0,2019
Notre Dame,ACC,46.2,49,14,16.4,29,31.1,30.1,21.8,45.4,48.6,31.5,33.1,66.6,0,2019
Pittsburgh,ACC,47.9,47.7,19.6,21.3,32.1,32.8,42.3,32.9,46.9,45.8,33.1,33.6,68.7,0,2019
Wake Forest,ACC,44.8,53.3,19.4,16.1,33.9,27.3,37.6,35.2,44.1,54.7,30.8,34.1,68.9,0,2019
Binghamton,AE,44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,43.9,49.8,30.6,37.5,63.6,0,2015
Hartford,AE,47.3,50.4,19,20.9,25.3,29.5,29.8,42.1,46,52,32.5,31.6,63.8,0,2015
Maine,AE,46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,45.5,55.6,32.6,37.4,66.6,0,2015
New Hampshire,AE,49.7,46,18.7,17.1,27.2,23.7,36.1,42.6,45.9,45.6,37.4,31.1,64.2,0,2015
Stony Brook,AE,46,46,18.6,17.7,37.1,25.4,32.4,32.2,45.1,43,32.1,34.3,64.5,0,2015
UMass Lowell,AE,47.9,53.9,20.5,23.3,21.6,30.4,34.3,34.1,44.6,54.1,34.9,35.8,64.1,0,2015
UMBC,AE,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,45,49.6,32.6,36.1,65.1,0,2015
Vermont,AE,51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,51.7,42.2,34.9,30.9,64.7,0,2015
Albany,AE,50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,51.8,50.2,32.3,30.9,67.3,0,2016
Binghamton,AE,44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,45,49,28.4,33.7,66.6,0,2016
Hartford,AE,49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,45.6,54,35.4,34.7,70.2,0,2016
Maine,AE,49.2,55.5,20.8,21,27.9,32.3,32,38,48.3,55.6,33.9,36.9,77.8,0,2016
New Hampshire,AE,46.7,50.2,16.8,15.1,29.5,21.7,36.6,34.5,45,48.6,33.2,35.3,68.1,0,2016
UMass Lowell,AE,53.6,54.5,21.3,19.2,25.1,32.9,33.2,38.4,53.2,53.9,36.2,37.1,73.7,0,2016
UMBC,AE,50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,50.4,56.4,33.1,38,70.1,0,2016
Vermont,AE,54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,52.6,46.3,38.2,37,68.5,0,2016
Albany,AE,51.7,51.2,18.3,17.5,33,23.6,33.4,31.4,50.3,50.7,37.1,34.7,65.5,0,2017
Binghamton,AE,48.8,52.2,18.6,17.1,23.5,28.2,30.8,32.2,47.1,51.3,34.4,35.7,67.2,0,2017
Hartford,AE,47.5,51.9,20.4,18.4,24.7,34.3,32.6,34.9,45,48.7,33.9,38.9,70.3,0,2017
Maine,AE,45.5,53,19.1,16.6,26.9,28.8,29.6,33.5,44.8,52.2,31.2,36.4,69.6,0,2017
New Hampshire,AE,50.2,49.9,18.3,14.6,27.2,21.7,34.1,29.3,49.5,50.1,34.2,32.9,66.9,0,2017
Stony Brook,AE,47.1,50.7,15.2,19.7,29.5,28.8,32.8,40.1,45.7,47.5,32.7,37.5,67.2,0,2017
UMass Lowell,AE,54.7,53.4,20.8,17.8,27.1,30.7,31.5,38.1,53.1,52.3,38.4,37,73.6,0,2017
UMBC,AE,54,52.4,16.3,17.7,24.4,27.3,35,35.1,51.5,52.2,38.5,35.2,72,0,2017
Albany,AE,50.5,50.6,17.5,17,34.6,24.3,37,27.1,48.7,51.6,36.8,32.6,67.4,0,2018
Binghamton,AE,49.7,51.6,18.3,17,25.9,26.7,30,32.4,48.1,48.2,34.8,38.7,67.4,0,2018
Hartford,AE,52.7,51.1,18.1,18.1,24.9,28.5,31.2,33.4,53.6,50.8,34.4,34.4,67.7,0,2018
Maine,AE,46,51.4,21.8,18.1,25.5,30.7,29.2,36.7,47.1,51.3,29.6,34.4,72.2,0,2018
New Hampshire,AE,46.3,50.8,17.4,13.7,28.4,21.4,30.5,41.5,44.3,50.6,32.6,34.1,66.7,0,2018
Stony Brook,AE,47.9,50.5,20,20.8,30.5,28.2,32,41.8,47.5,49.1,32.2,35.3,69.6,0,2018
UMass Lowell,AE,52.1,55.4,18.7,20.3,26.3,32.5,39.2,33.5,52.4,55,34.4,37.5,72.6,0,2018
Vermont,AE,55.9,50.6,16.9,16.8,26,22.6,41.8,25,53.8,49.9,39.9,34.6,65.2,0,2018
Albany,AE,49.3,52.1,20.9,18.5,27.3,28.3,32.5,30.2,46.9,51,34.8,35.9,67.3,0,2019
Binghamton,AE,49.5,52.3,18.5,16.7,20.9,31.7,24.3,25.2,48.4,49,33.9,38.4,67.2,0,2019
Hartford,AE,54.2,52.6,17.8,19.3,25.3,31,33.1,29.9,51.5,53.2,38.2,34.4,68.3,0,2019
Maine,AE,48.6,55.3,22.2,19.1,25.9,27.2,25.6,38.6,49.9,52.7,31,38.7,65.3,0,2019
New Hampshire,AE,44,51.5,18.4,16.9,21.5,24.7,21.9,38,39.4,52.1,32.6,33.6,67.1,0,2019
Stony Brook,AE,48.1,46,20.7,18.6,33.2,26.1,35.4,36.2,47.7,46.6,32.6,30.1,70.7,0,2019
UMass Lowell,AE,53.7,52,19.6,17.9,27,29.8,34.1,32.6,55.1,54.7,34.3,31.6,71.6,0,2019
UMBC,AE,48.4,51.4,18.3,22.9,24.5,24.4,31.1,32.9,49.5,51.8,31.3,34,66.2,0,2019
Connecticut,Amer,50,45.2,18.6,17.9,30.2,30.5,32.3,32.6,48.4,42.8,35.4,33.2,62.5,0,2015
East Carolina,Amer,48.4,50.9,18,19.2,28.2,34.7,29.9,34.1,45.2,53,35.6,31.6,61.9,0,2015
Houston,Amer,46.5,49.1,20.5,19.9,33.6,33.7,31.5,33.2,45.2,48.4,32,33.7,64.6,0,2015
Memphis,Amer,48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,0,2015
South Florida,Amer,47.3,49.1,20.9,18.8,31.3,34.8,31.6,42.5,47.7,45.4,30.9,37.4,64.4,0,2015
Temple,Amer,44.2,44.5,14.6,18.8,31.8,29.2,35.6,33.5,43.4,43.3,30.4,31.4,65.9,0,2015
Tulane,Amer,46.4,49.9,19.9,20.3,32.6,29.3,34.7,36.1,45.5,49.6,32,33.7,63.7,0,2015
Tulsa,Amer,47.1,45.5,17.7,19.7,30.8,28.5,41.4,30.9,46.5,42.8,32.3,33.3,64.3,0,2015
UCF,Amer,49.1,51.3,19.7,15.8,30.7,36.8,35.1,27.2,47.6,50.3,34.5,35.6,64.6,0,2015
East Carolina,Amer,49,51.2,19.4,18.4,28.8,32.3,34.6,26.8,47.8,52.2,33.9,33.1,68,0,2016
Houston,Amer,52.2,47.3,15.4,18.4,35.8,33.3,34.4,36,52.1,48.3,34.8,30.3,67.3,0,2016
Memphis,Amer,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,0,2016
SMU,Amer,55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,52.5,44.6,42,33.1,66.6,0,2016
South Florida,Amer,45.4,47.2,21.9,14.3,34.6,32.5,33,35.6,46.2,46.9,28.6,31.9,67.7,0,2016
Tulane,Amer,45.4,48.4,19.5,18.4,32.1,29.8,31.3,36.2,45.5,46.4,30.1,35.2,68.5,0,2016
UCF,Amer,49.2,47.1,21.3,13.4,31.3,30.5,37.2,25.1,50.1,46.4,31.8,32.3,68.6,0,2016
Connecticut,Amer,48.5,45.6,18.7,16.1,29.9,30.5,34.5,32,46.1,43,35.4,33,66.1,0,2017
East Carolina,Amer,45.8,44.7,20.8,17,30.7,31.1,37.4,27.2,44.5,42.6,32,32.5,68.3,0,2017
Houston,Amer,51.7,47.1,14.9,20.7,31.8,30.7,28.6,36.8,47.7,45.7,39.4,32.9,66.6,0,2017
Memphis,Amer,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,70,0,2017
South Florida,Amer,47.7,51,23.5,19.1,30.6,34,30.7,40.1,45.9,45.1,34.6,39.6,70.1,0,2017
Temple,Amer,49.7,49.1,16.6,18.3,27.5,32.2,26.4,32.1,47,47.7,35.6,34.3,68.7,0,2017
Tulane,Amer,46.4,53.7,18.8,19.7,29.3,32.5,34.3,40.8,45.2,51.9,32.4,38.1,72,0,2017
Tulsa,Amer,48.9,50.4,21.8,18.4,29.5,28.3,42.8,33.1,47.2,48.2,34.3,35.9,69.6,0,2017
UCF,Amer,50.4,42.7,22,14.7,32.6,25.5,39.9,22.3,48.9,39.9,35.2,31.3,67.1,0,2017
Connecticut,Amer,47.5,51.1,18.5,18.3,29.4,32.7,32.4,33.9,46.6,48.5,32.6,36.4,68.1,0,2018
East Carolina,Amer,48.3,51.5,20.6,17.3,27.8,32.5,28.7,31.1,49.6,50.6,30.5,35.3,70.1,0,2018
Memphis,Amer,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,52.3,47.6,31.7,37,67.4,0,2018
