TEAM,CONF,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,POSTSEASON,YEAR
Morehead St.,OVC,52.4,46.5,20.4,17.3,30.7,29.5,29,23.7,51.6,45.3,35.8,32.6,64.7,0,2022
North Carolina St.,ACC,47.9,53.4,14.5,18.3,30.3,31,29.1,29.4,45.9,53,34,36.1,67.1,0,2022
George Mason,A10,53,49.6,18,17.2,24.9,23.8,29,29.6,52.4,48.1,35.7,34.4,65,0,2022
Liberty,ASun,55.5,48.3,18,17.1,22.2,22.8,28.4,31.4,54,46.3,38.1,34.2,65,0,2022
Utah,P12,48.4,49.4,18.1,15.2,29.3,29.2,30,28.6,47.3,49.4,33.5,32.9,66.4,0,2022
Nevada,MWC,50.6,52.4,18.4,18.3,24.5,26.1,32,29.7,51.3,51.2,33,35.9,70.3,0,2022
Western Kentucky,CUSA,52.8,50.7,17.6,19.9,25.1,30.4,31.3,16.5,52.1,48.6,35.9,35.6,68.7,0,2022
Southern Illinois,MVC,51.5,49.7,18.1,18.7,23.2,23.3,29.1,27.6,50.6,50.2,35.1,32.4,62.1,0,2022
Wofford,SC,53.9,53.8,17.7,19.7,26.9,22.2,28.2,28.6,55.5,53.3,34.8,36.2,64.2,0,2022
College of Charleston,CAA,50.3,51.2,20.9,19.1,35.7,25,30.4,37.6,50,51.3,33.9,34.1,73.7,0,2022
Texas St.,SB,51,50.7,18.8,21.8,30.8,29.3,32.9,34.4,48.9,49.5,37.2,35.1,63.7,0,2022
Kent St.,MAC,49.8,49,18.5,19.5,30.8,26.4,32.6,36.4,50.5,50.1,32.5,31.7,65.7,0,2022
Florida Atlantic,CUSA,53.3,50.8,19.6,19.5,31.1,26,28.8,32.1,53.6,48.4,35.3,36.9,67.1,0,2022
California,P12,46.9,47.5,17.1,14.7,25.5,23.4,25.3,31.5,47.2,48.1,30.8,30.9,64.1,0,2022
Georgia Tech,ACC,49.6,50.1,18.9,18.8,25,28.1,25,31.5,48.6,51.4,34.4,32.1,68.1,0,2022
Rhode Island,A10,50.6,46.3,20.8,19.3,28.6,27.6,36.1,32.7,50.5,44.5,33.8,32.6,67.2,0,2022
UC Santa Barbara,BW,53.5,48.1,19.3,19.5,28.4,27.2,37.2,30.4,55,48.2,33.4,32,65.5,0,2022
Seattle,WAC,48.3,46.4,16.3,20.5,26,25.6,28.8,40.5,47.1,46,33.1,31.4,70.4,0,2022
Drexel,CAA,52,50.4,16.4,16.2,25.6,26.1,25.4,26.1,52,50.6,34.7,33.4,66.2,0,2022
Buffalo,MAC,51.6,48.2,18.6,15.8,37,27.9,25.6,29.4,51.6,48.3,34.4,31.9,71.1,0,2022
UC Irvine,BW,47.6,44.1,20.6,17.2,29.9,27.6,29.7,31.2,47.4,46,32.1,26.6,65.1,0,2022
Saint Joseph's,A10,49.7,47.7,19.6,13.7,27,24.1,22.9,26.9,49,47.6,33.6,31.8,68.2,0,2022
Ohio,MAC,50.6,50,15.4,20.4,27.1,26,31.5,28,50.8,51.9,33.7,31.2,67.4,0,2022
Gardner Webb,BSth,49.9,45.5,20,19,26.9,26.3,28.5,36.3,50.2,47.4,33,28.5,67.5,0,2022
Jacksonville,ASun,48.6,47.2,18.6,16.4,33.6,23.4,30.5,30.8,47.2,49.9,34.5,29.3,61.4,0,2022
Missouri,SEC,47.1,50.8,21.6,17.9,31.4,29.7,29.9,35.6,49.4,49.7,28.1,35.1,65.7,0,2022
Appalachian St.,SB,48.4,49.8,16,17.9,26.3,26,27.6,21.7,46.9,50,33.5,33,64.4,0,2022
New Mexico,MWC,49.4,52,16.1,18,24,29.1,32.8,35.6,48.1,53.5,34.4,32.9,71.2,0,2022
