TEAM,CONF,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,YEAR
Stetson,ASun,50.2,53.1,18.7,13.1,24.1,34.3,33.1,27.7,50.2,52.6,33.5,35.9,67.6,2015
NJIT,AE,45.3,50,18,13.8,27.7,31.8,27.4,38.6,45,51.9,30.5,31,66.3,2015
Cal St. Fullerton,BW,44.2,54.3,21.3,16.1,25.9,29.8,39.2,34.1,46.1,55.9,27,34.9,68,2015
Canisius,MAAC,51.2,56.9,18.5,16.4,18.3,34.3,23.3,31.4,48.4,58.7,36.7,36.2,66.1,2015
New Hampshire,AE,47.1,54.4,19,16.9,27.4,31.6,26.4,33,46.8,56.4,31.7,34.1,67.6,2015
Prairie View A&M,SWAC,48.2,56.2,16.7,20,24.5,39.1,33.8,40.5,48.6,57.6,31.5,35.7,70.3,2015
Alabama A&M,SWAC,45.1,54.3,21.9,21,33.9,34.6,38.6,46.7,44.3,51.8,30.8,39,70.7,2015
Maryland Eastern Shore,MEAC,45.7,55.3,19.7,15.5,27.1,34.1,35.6,40.6,44.7,58.6,31.5,33.3,66,2015
The Citadel,SC,46.9,54.5,19.5,15.2,27.2,32,32.8,32.8,49.5,56.3,29.2,34.7,64.5,2015
Chicago St.,NEC,44.4,54.9,18.5,18.2,22.6,33.6,26.8,36.9,43.4,55.7,30.6,35.8,68.5,2015
Coppin St.,MEAC,44,55.6,21.6,20.5,26.5,33.9,36.4,37.1,44.2,56.3,29,36.3,67.9,2015
Arkansas Pine Bluff,SWAC,50.3,56.3,20.4,16.8,26.3,34.6,32.8,40.5,52.6,58.5,31,35.7,71.6,2015
Mississippi Valley St.,SWAC,42.1,57.9,24.3,15,22.7,38,30.3,38.4,41.6,58.8,28.8,37.7,64.8,2015
