TEAM,CONF,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,YEAR
Northeastern,CAA,51.1,50.3,18.6,18.2,31.4,31.4,28,30.3,51.3,49.2,33.7,34.9,67.4,2015
Southeast Missouri St.,OVC,51.3,47.6,15.4,19,24,28.7,28.9,42.8,51.1,48.8,34.5,30,68.8,2015
Pepperdine,WCC,49.6,52.5,16.1,15.3,27.7,30,31.6,27.2,48.9,53.3,34,34.2,69,2015
Merrimack,MAAC,49.4,46.9,13.8,23.2,20.8,38.6,24.4,29.9,49.3,47.2,33,31,64.4,2015
Abilene Christian,WAC,46.7,51.4,20.7,24,30,31.5,37.2,51.3,47.8,52.6,28.9,32.6,69.1,2015
Brown,Ivy,51.1,49.3,17.1,15.7,30.1,30.7,28,29.1,52.1,49.2,33.1,32.9,65.7,2015
South Florida,Amer,49.7,49.7,16.2,18.3,27.7,33.2,34.9,36.7,51.1,49.6,31.6,33.3,68.2,2015
Indiana St.,MVC,54.6,54.3,19.5,15.8,26.2,27,35.9,38.8,56.6,54.5,35,35.9,72.3,2015
Hampton,CAA,47.5,52.6,16,18.8,34,28.7,30.3,43.6,46.9,53.3,32.4,34.2,65.5,2015
Idaho St.,BSky,47.8,54.1,16.3,17.9,38.3,25.9,34.4,32.7,48.3,53,31.2,37.3,65.8,2015
Princeton,Ivy,51.5,53.4,15.2,17.3,26.2,24.2,24.6,31.7,50.1,53.5,35.3,35.5,66.6,2015
Missouri St.,MVC,50.9,54.7,20.7,19.1,32,28.4,34.3,38.5,49.1,55,36,36.1,63.8,2015
Southeastern Louisiana,Slnd,49.2,51.4,17.4,18.8,30.9,29.4,34.7,36.5,49.5,51.9,32.4,33.7,66.9,2015
La Salle,A10,46.1,52.6,15.5,16.7,30.5,29.5,31.4,30,44.5,54.5,32.8,33.2,68.6,2015
Texas St.,SB,50.7,49.9,18.1,16.1,35.2,31.5,36,41.6,49.3,47.4,36.4,36.1,65.9,2015
Quinnipiac,MAAC,48.4,49.5,17.9,17.1,33.5,26,31.1,28.3,50.7,46.7,29.8,36.1,71.5,2015
Massachusetts,A10,45.1,49.8,16.1,17.5,34.3,31,34,36.6,46.6,49.7,28,33.2,70.4,2015
Youngstown St.,Horz,49.8,48.8,17.6,18,29.3,31.2,36.4,35.8,52.1,48.1,31.3,33.5,69.2,2015
Bucknell,Pat,53.8,50.3,18.6,17,26,28,36.7,35.4,54.4,49,35.3,34.7,67.4,2015
Southern,SWAC,47.2,49.2,18.5,21.1,34.4,28.5,38.1,42.3,47.4,48.2,31.2,33.8,68.3,2015
Fordham,A10,48.6,52.8,18.4,16.7,31.5,30.6,32.8,39.2,49.1,52.6,32,35.5,69.5,2015
Seton Hall,BE,44.7,54.6,19.1,22.2,31.2,31.8,32.9,39.6,43.9,54.5,31.2,36.6,64.4,2015
SIU Edwardsville,OVC,48.9,47.5,17.1,17.3,31.8,29.1,33.1,33.2,47.8,46.3,34,33,65.8,2015
Valparaiso,MVC,47.7,53.7,14,17.1,26.5,28.5,33.6,35.4,47.3,54.2,32.3,35.2,67.9,2015
Wright St.,Horz,56.3,53.2,17.8,14.2,28,27.9,27,34.5,55.3,52.2,38.6,36.7,67.3,2015
William & Mary,CAA,53.7,53.5,18.1,17.6,26.2,30.2,35.6,35.5,55.8,54.4,34.5,34.8,71.4,2015
Central Michigan,MAC,49.8,53.1,17.6,18.2,32.1,29.1,35.8,31.3,51.2,52.5,31.3,35.9,67.2,2015
Campbell,CAA,50,52.4,15.8,18.8,24.6,27.7,29.7,29.9,51.5,55.8,31.9,31.1,65.8,2015
Richmond,A10,48.4,52.7,15.4,15.8,19.3,27.7,29.7,37.1,49.7,52.4,31.2,35.4,63.8,2015
Northwestern St.,Slnd,48.7,49.8,20.2,17.4,33.1,32.6,32.2,33.1,46.5,46.8,35.2,36.2,63.8,2015
UNC Asheville,BSth,52,53.4,14.8,18,29.7,34.1,34.4,40.1,52.4,53.8,34.2,35.2,67.8,2015
Hofstra,CAA,48.9,45.9,17.6,16.4,25.8,28.6,25.3,38,48.1,42.6,33.2,33.9,63.6,2015
Elon,CAA,50.2,48.1,19,13.3,36.3,31.4,38.8,24.7,50.8,47.1,32.8,32.9,64.9,2015
UMKC,Sum,48.4,51.2,18.6,17.1,32.8,29.7,30.9,35.2,47.5,53.6,33.1,31.8,64.3,2015
Longwood,BSth,51.3,55.9,18,20.7,32.1,29.6,45.4,38.3,52.3,59.8,32.9,33.7,68.9,2015
Hawaii,BW,50.6,49.5,20.7,13.1,31,24.9,39.9,33.7,53.1,48,31,35,65.8,2015
Tennessee St.,OVC,51.3,48.8,21.1,17.4,33.8,30.3,41.4,39.3,52.5,48.1,32.6,33.4,70.5,2015
Vermont,AE,49,48.8,17.3,15.7,26.2,25.8,29.8,27.1,49.5,48.3,32.3,33,62.5,2015
Maine,AE,51.6,50.4,15.5,21.9,21.8,32.3,28.2,29,50.6,50.7,35.7,33.3,65.9,2015
Delaware,CAA,55.1,52.2,16.6,15.5,22.4,32.5,30,32.9,54.1,51.9,37.7,35.3,70.2,2015
UT Rio Grande Valley,Slnd,51.7,51.4,19.2,17.6,30.8,33.9,22.7,29.9,55.4,52,31.8,33.4,70.5,2015
South Dakota,Sum,50.1,54.8,12.6,17.3,30,35.7,45.4,35.2,51.7,55.4,31.6,35.9,74.4,2015
Harvard,Ivy,50.6,52.2,18,17.7,25,31.1,24.4,24.6,52.2,53.4,32,33.5,65.6,2015
UT Arlington,WAC,51.7,50.4,19.2,16.4,32.8,32.5,37,34.3,50.6,48.5,35.4,36,67.5,2015
Tulsa,Amer,49.5,49.7,16.9,14.4,27.2,31.1,34.2,33.6,51.5,50,31.2,32.7,66.2,2015
North Dakota,Sum,49.7,56.5,16.6,15,33.7,28.7,33.6,33,50.3,57.1,32.5,37.1,68.9,2015
Iona,MAAC,47.5,51.7,20.9,22.8,39.1,30.9,27.9,35.6,47.5,53.9,31.8,32.6,68.2,2015
American,Pat,51.8,52.1,16.8,17.6,23.8,27.4,29.5,34.1,51.1,53.1,35.1,33.6,63.4,2015
UC Davis,BW,46.3,50,19.7,21.8,27.6,33.6,38.3,39.2,45.1,48.3,32.2,35.2,67.1,2015
Incarnate Word,Slnd,51.1,52,18.1,17.5,34.5,31.4,27.5,34.7,49.7,50.8,35.8,36.4,64.1,2015
Georgia St.,SB,50.4,51,16.9,12.9,32.4,31.9,33.8,26.2,49.8,51.8,34.4,33.2,69.1,2015
Northern Arizona,BSky,50.3,53.3,15.4,14.8,31.5,23.8,29.6,34.3,49.4,52.8,34.5,36,66.6,2015
Sacred Heart,MAAC,51,51.8,17.7,17.6,31.4,29.9,26.3,27.6,50.3,50.8,34.5,35.4,70.3,2015
Georgia Southern,SB,50.6,50.1,19,18.4,33,33,26.5,43.1,49.8,51.2,34.5,32.3,69.5,2015
Northern Kentucky,Horz,49.8,52.5,17.3,19.9,31,32.5,31.3,29.3,50,50.6,33,37,65.9,2015
Portland,WCC,50.1,54.6,18,13.2,23.9,29.9,32.2,22.1,49.8,53.3,33.7,37.8,68.2,2015
Idaho,BSky,51.8,54,17.9,15.1,28.9,31.3,33.6,35.7,51.5,55.1,34.7,34.9,66.3,2015
Toledo,MAC,50.5,56.4,13.7,15.5,29.8,30.9,35.5,26.5,50.6,55.9,33.6,38.2,68.3,2015
Little Rock,OVC,49.5,46.7,20.4,21.5,30.4,35.4,29,37.9,47.2,46.3,36.6,31.4,66.7,2015
Cal St. Bakersfield,BW,48.2,54.3,18.8,18.9,35.6,29.7,34.5,46.9,45.3,54.8,37.2,35.7,66,2015
Presbyterian,BSth,51.2,52.5,16.3,17.7,29.6,31.3,31.2,39.2,49.7,52.9,36,34.4,64.3,2015
Jackson St.,SWAC,47.7,50.6,19.5,17.4,30.1,30,37.5,30.6,47.1,50.3,32.6,34.1,68.4,2015
Fresno St.,MWC,46.1,54,17.7,18,27,34,36.4,23.5,45.6,56,31.3,34.2,70.7,2015
Manhattan,MAAC,50.7,50.5,17,15.2,32.6,31.9,31,25.9,50.3,51.8,34.2,32.5,67.4,2015
Monmouth,CAA,47.2,50.7,16.2,16.6,29.7,34.8,36.7,36.1,44.2,50.7,35.2,33.8,67.1,2015
Evansville,MVC,48.8,50.2,17.7,16.7,22.6,29.2,31.1,34.6,51.5,49.4,29.9,34.1,66.9,2015
Charlotte,Amer,48.3,54.2,15.1,14.6,25.4,29.2,42.7,37,49.6,56.4,31,33.3,64.7,2015
Mount St. Mary's,MAAC,51,48,21.7,15.9,31.1,28.3,31,26.7,50.1,48.7,34.9,31.4,67.3,2015
UMass Lowell,AE,54.6,51.6,18.1,14.7,26.1,30.3,31.6,25.2,56.3,50.5,34.2,35.6,68.6,2015
North Florida,ASun,53.2,54.1,15,14.7,27.9,34.2,24.8,31.1,54,54.5,35,35.5,72.2,2015
FIU,CUSA,46.1,51.6,19.5,20.6,31,29.6,36,37.5,47.4,52.6,28.8,33.3,68.4,2015
Houston Christian,Slnd,49.1,52.6,18,17.9,26,32,30.5,29.4,49.3,54.5,32.5,32.3,64.5,2015
Gardner Webb,BSth,51.9,52,20.8,14.8,33.4,30.2,36.2,37.2,53.1,54.2,33,32.3,69,2015
Denver,Sum,50.3,54.3,18.5,17.6,26.1,29.1,31.6,49.8,50.5,56.2,33.3,34.1,66.4,2015
Siena,MAAC,49.4,51.7,17.2,18.2,28.8,30,37.3,31.4,49.5,51.8,32.8,34.3,67,2015
Eastern Michigan,MAC,52.4,53.7,18.7,17.8,29.6,31.7,33,38.5,52.4,51.9,35,37.7,67.1,2015
Colgate,Pat,54.2,53.3,16.7,16.3,23.7,26.9,22.6,25.5,54.6,51.5,35.7,37.3,67,2015
Ball St.,MAC,51.3,51.6,16.4,14.1,26.4,27.9,44.5,30.7,51,54.5,34.6,31.5,66.3,2015
Alabama St.,SWAC,47.1,50.3,13.2,18.6,28.3,31.1,29.9,38.7,45.4,50.4,32.9,33.4,67.6,2015
Bowling Green,MAC,49.9,52.6,17.5,17.3,25.6,27.4,34.5,29.8,49.6,54.6,33.5,33.2,68.7,2015
Albany,AE,49.3,54.9,15.7,19.8,32.3,28.4,29.5,34.7,50.2,55.8,31.7,35.6,67.5,2015
Mercer,SC,48.9,50.8,16.6,16.8,28.8,28.7,29.8,32.8,49.8,49.7,31.8,34.7,70.9,2015
Eastern Washington,BSky,50.9,54.4,18.7,19,26.9,33.6,31.1,39.7,52.5,53.8,32.3,36.9,67,2015
Pacific,WCC,48.1,53.2,19.3,15.4,28.8,28.2,32.8,37.1,50.3,52.9,29.7,35.8,66.5,2015
LIU,NEC,47.7,48,20.1,19.2,32.3,27,27.6,43.5,48.8,48.8,30.3,31.2,64.8,2015
Western Michigan,MAC,47,54.5,15.8,16.6,34.4,27.9,31,33.2,49.3,55,28.2,35.8,67.7,2015
Texas Southern,SWAC,47.5,47.4,19.8,19.6,30.5,34.7,28.9,36.2,46.2,46.5,33.1,32.6,69.9,2015
Austin Peay,ASun,48.7,53.8,14.8,16.8,25.8,31.2,28.9,36,47.1,52,34,37.9,65.9,2015
Marist,MAAC,49.9,46.9,18.4,16.4,30.6,25.6,22.4,33.2,51.5,44.9,31.4,33.7,64,2015
Tarleton St.,WAC,45.9,52.1,25.1,23.3,28.1,33.9,41.5,48.3,45,52.9,32.2,33.9,65.5,2015
Stephen F. Austin,Slnd,46.7,49.2,22.2,20.2,34.6,33.1,32.3,34.1,48.8,47.8,28.7,34.4,67.3,2015
Navy,Pat,48,52.5,16.1,17.8,31.3,27.2,33.8,33.8,46.8,52.6,33.3,34.9,66.9,2015
Tennessee Martin,OVC,47.6,52.3,19.5,18.9,34.7,30.8,34.4,33.9,48.5,52,31.1,35,66.2,2015
Air Force,MWC,50.1,54.6,20.8,15.7,22.7,29,35.4,35.4,50.5,54.8,33.1,36.3,64.4,2015
Tennessee Tech,OVC,50.7,49.6,17.4,15.2,25,32.4,28.8,22.2,49,50.6,35.1,31.9,67.8,2015
Weber St.,BSky,50.2,53.4,16.9,16.5,24.4,30.1,34.7,37.2,51.1,52.2,32.4,36.7,65.4,2015
San Diego,WCC,45.7,54,18.4,18.5,29.9,31.6,30.5,46.1,46.3,51.6,29.7,38.5,70.9,2015
Old Dominion,SB,44.1,51.2,16.9,16,36.4,32,30.9,35,45,51.2,28.3,34.1,66,2015
Lafayette,Pat,50.2,50.4,16.6,16.7,24,28,30.5,26.9,49.7,48.3,34,35.8,66.1,2015
Saint Peter's,MAAC,44.7,47.3,20.7,17.6,37,31,34.7,37.6,42.4,47,32.2,31.9,63.7,2015
Bethune Cookman,SWAC,48.2,48.8,19.5,16.7,28.8,30,35.9,32.4,48.4,49.8,31.9,31.3,68.9,2015
Oral Roberts,Sum,50,55,16.3,13.9,22.6,33.1,35,38.2,48.5,56.6,34.4,35,67.2,2015
Utah Tech,WAC,48.8,53,18.3,17.4,26.2,33.5,33.7,41.1,47.9,53.7,33.4,34.4,67.3,2015
Columbia,Ivy,52.6,56.4,15.4,16.4,25.9,26.7,29.5,25.4,53.9,54.6,33.8,39.2,70.8,2015
Lehigh,Pat,51.1,50.7,15.6,16.1,21.4,29.1,31.5,33.9,49.1,53,36.4,31.2,67.1,2015
Saint Francis,NEC,51.6,51.3,19.6,16.4,25.4,30,23.8,28.7,52.6,53.4,33.4,32.3,67.2,2015
Howard,MEAC,53.5,52.3,21.2,16.5,29,33.8,35.7,40.9,52.6,53.1,36.6,33.8,69.6,2015
Penn,Ivy,49.4,53,16.4,13.4,26.8,29.7,28.9,25.8,49.9,50.8,32.6,37.5,66.8,2015
Fairleigh Dickinson,NEC,49.1,50.5,17.1,17.6,25.9,32,32.1,30.4,49.7,53.3,32.2,30.3,69.2,2015
